question,opt1,opt2,opt3,opt4,answerIndex,explanation
Which of the following is a primary source of energy?,Wind,Solar,Petrol,Coal,B,Solar energy is a primary source.
Largest delta in the world?,Sunderbans,Amazon,Nile,Mississippi,A,Sunderbans is the largest delta.
Which planet has a day longer than a year?,Earth,Venus,Mercury,Mars,B,Venus has day longer than year.
The Atmosphere is mostly made up of?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,C,Nitrogen is the major gas.
Name the second largest planet?,Earth,Mars,Jupiter,Saturn,D,Saturn is second largest planet.
How many planets are in the solar system?,8,9,10,7,A,There are 8 recognized planets as per IAU.
India is located in which hemisphere?,Southern,Northern,Western,Eastern,B,India is in the northern hemisphere.
Distance from Earth to Sun is called?,Light year,Astronomical unit,Parsec,Gigameter,B,Called astronomical unit (AU).
The largest freshwater lake in India is?,Wular Lake,Dal Lake,Chilka,Vembanad,A,Wular Lake is the largest freshwater lake.
Shape of the Milky Way is?,Elliptical,Spiral,Ring,Irregular,B,The Milky Way is a spiral galaxy.
The “ring of fire” is found around which ocean?,Indian,Atlantic,Arctic,Pacific,D,Ring of Fire is around Pacific Ocean.
Which is the highest waterfall in the world?,Niagara,Angel Falls,Jog Falls,Victoria,B,Angel Falls in Venezuela is the highest.
The Sun is mainly composed of which gas?,Nitrogen,Hydrogen,Oxygen,Helium,B,The Sun is 73% hydrogen.
Which state is called the “Land of Five Rivers”?,Punjab,Gujarat,Rajasthan,Assam,A,Punjab means “five rivers”.
The outer layer of Earth is called?,Core,Crust,Mantle,Lithosphere,B,Crust is the topmost layer.
"Which state is known as the ""Spice Garden of India""?",Kerala,Assam,West Bengal,Madhya Pradesh,A,Kerala is called spice garden.
Which planet has a blue-green color due to methane?,Neptune,Venus,Saturn,Jupiter,A,Methane gives Neptune blue-green color.
Which is the biggest planet in our solar system?,Earth,Venus,Mars,Jupiter,D,Jupiter is the largest planet in the solar system.
India shares longest border with which country?,Nepal,Pakistan,China,Bangladesh,D,Bangladesh shares longest border with India.
Earth Day is celebrated on?,June 5,April 22,October 16,December 10,B,Earth Day is on April 22nd.
The deepest ocean trench is?,Tonga,Mariana,Java,Puerto Rico,B,Mariana Trench is the deepest.
Which planet has the most moons?,Jupiter,Saturn,Mars,Uranus,B,"As of recent discoveries, Saturn has the most moons."
The longest dam in India is?,Hirakud,Tehri,Bhakra Nangal,Sardar Sarovar,A,Hirakud dam on Mahanadi River.
Who proposed the Big Bang Theory?,Einstein,Hubble,Newton,Georges Lemaitre,D,Georges Lemaitre proposed the modern Big Bang theory.
One Astronomical Unit is the average distance between:,Earth and Sun,Earth and Moon,Sun and Mars,Sun and Saturn,A,AU is distance between Sun and Earth.
The process of breaking rocks is called?,Erosion,Weathering,Sedimentation,Melting,B,Breaking of rocks is known as weathering.
Tropic of Cancer passes through how many Indian states?,6,8,10,7,C,Tropic of Cancer passes through 10 states.
River with largest basin in India?,Narmada,Ganga,Brahmaputra,Godavari,B,Ganga has the largest basin.
The study of universe is called?,Meteorology,Astronomy,Geology,Seismology,B,Universe study is astronomy.
Which is the only continent with no desert?,Asia,Europe,Antarctica,Australia,B,Europe has no true desert.
Which is called the Red Planet?,Earth,Venus,Mars,Jupiter,C,Mars is called the Red Planet due to its color.
What is the name of our galaxy?,Andromeda,Milky Way,Orion,Centauri,B,We are in the Milky Way galaxy.
The boundary line between India and Pakistan is called?,Maginot,Line of Control,Durand,Radcliffe,D,Radcliffe Line divides India and Pakistan.
The ocean current flowing along the east coast of USA is?,Kuroshio,Gulf Stream,Labrador,Benguela,B,Gulf Stream is famous.
Which state in India has the largest area?,Maharashtra,Madhya Pradesh,Rajasthan,Uttar Pradesh,C,Rajasthan is largest by area.
Which planet has a storm called the Great Red Spot?,Mars,Jupiter,Earth,Saturn,B,Jupiter contains the Great Red Spot.
The southernmost tip of India is?,Indira Point,Kanyakumari,Nicobar,Lakshadweep,A,"Indira Point, Nicobar Islands."
The Tropic of Capricorn passes through which continent?,Asia,Europe,Africa,South America,D,It passes through South America.
Which is the only floating national park in the world?,Keoladeo,Khangchendzonga,Keibul Lamjao,Kaziranga,C,"Keibul Lamjao, in Manipur, is floating."
The only satellite of Earth is?,Phobos,Titan,Moon,Deimos,C,Earth’s only natural satellite is the Moon.
The Indian state with the longest coastline is?,Goa,Gujarat,Andhra Pradesh,West Bengal,B,Gujarat has the longest coastline.
Earth’s only natural satellite?,Star,Meteor,Moon,Asteroid,C,Moon is Earth’s only natural satellite.
